query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
sp|P19075|TSN8_HUMAN,5TCX_A,1.2e-28,172.74,97.36,52.34,84.83
sp|P19419|ELK1_HUMAN,1HBX_H,1.7e-36,241.91,130.17,29.54,127.74
sp|P20963|CD3Z_HUMAN,6JXR_a,2.8e-51,315.42,154.53,113.89,119.77
sp|P22003|BMP5_HUMAN,5FFO_D,9.3e-49,330.09,161.23,53.40,155.01
sp|P25100|ADA1D_HUMAN,5ZTY_A,5.7e-41,292.74,223.98,41.41,218.67
sp|P25106|ACKR3_HUMAN,7BR3_A,3.8e-30,221.9,174.33,27.41,171.46
sp|P25440|BRD2_HUMAN,6DNE_B,5.7e-34,254.28,84.28,34.76,79.77
sp|P25791|RBTN2_HUMAN,1RUT_X,7.4e-14,84.91,58.39,13.10,57.06
sp|P26010|ITB7_HUMAN,7NXD_B,1.9e-121,914.0,446.74,282.17,321.69
sp|P28069|PIT1_HUMAN,6T90_K,4.6e-21,180.06,127.32,32.10,122.94
sp|P28749|RBL1_HUMAN,4ELJ_A,3.5e-119,941.11,465.46,196.26,428.34
sp|P29972|AQP1_HUMAN,6POJ_A,1.6e-53,340.5,226.44,29.59,224.72
sp|P33947|ERD22_HUMAN,7RXC_K,4.4e-56,358.94,329.90,20.56,329.28
sp|P35240|MERL_HUMAN,4RM9_A,2.5e-105,750.11,231.30,150.08,203.52
sp|P35443|TSP4_HUMAN,1YO8_A,8.4e-108,781.65,223.44,243.83,143.41
sp|P37059|DHB2_HUMAN,1FDV_C,1.1e-20,164.08,96.65,11.86,96.01
sp|P41180|CASR_HUMAN,7DD7_A,2.8e-149,1143.88,233.15,195.57,186.51
sp|P41235|HNF4A_HUMAN,3E00_A,9.1e-54,377.39,143.48,64.40,130.90
sp|P43304|GPDM_HUMAN,2RGO_B,1.6e-77,572.26,108.61,81.90,97.21
sp|P47869|GBRA2_HUMAN,6HUJ_A,2.3e-48,326.49,217.19,63.30,205.59
sp|P48735|IDHP_HUMAN,1ITW_D,4.3e-55,445.04,236.34,80.72,224.94
sp|P49336|CDK8_HUMAN,5ICP_A,2e-76,472.19,180.31,26.64,179.00
sp|P49589|SYCC_HUMAN,6UJD_A,1.7e-57,417.86,150.76,64.88,142.17
sp|P50479|PDLI4_HUMAN,6PCV_A,0.069,57.78,47.60,6.04,47.23
sp|P51571|SSRD_HUMAN,4HD5_A,24.0,28.27,NaN,NaN,NaN
sp|P52815|RM12_HUMAN,7O9M_t6,6.4e-41,267.52,116.04,60.89,104.83
sp|P54132|BLM_HUMAN,4CGZ_A,2e-93,698.12,193.53,78.63,179.83
sp|P54577|SYYC_HUMAN,5THL_A,8.9e-53,364.29,190.16,58.89,178.77
sp|P62328|TYB4_HUMAN,4PL7_B,5e-14,84.82,73.55,11.97,72.45
sp|P78332|RBM6_HUMAN,4PKD_B,1.4e-08,91.04,72.34,10.80,71.61
sp|P78426|NKX61_HUMAN,6T90_K,1.3e-06,86.5,65.77,9.87,65.08
sp|P98171|RHG04_HUMAN,5I6R_A,1.4e-69,531.19,136.47,53.21,131.34
sp|Q01484|ANK2_HUMAN,4RLV_A,4.7e-112,929.2,300.05,131.40,281.25
sp|Q01668|CAC1D_HUMAN,6JP8_A,0.0,2913.56,315.68,485.78,193.55
sp|Q02446|SP4_HUMAN,6QNX_C,3.5e-11,129.01,72.08,13.07,71.00
sp|Q05901|ACHB3_HUMAN,6Y5A_D,3e-66,468.03,262.36,96.86,243.29
sp|Q13049|TRI32_HUMAN,6QAJ_B,1.9e-15,131.76,81.00,16.39,79.49
sp|Q13241|KLRD1_HUMAN,6INN_A,5.6e-11,96.4,61.16,8.68,60.61
sp|Q13418|ILK_HUMAN,4OAV_B,8.2e-32,251.19,133.30,12.67,132.79
sp|Q14032|BAAT_HUMAN,3HLK_B,2.3e-57,396.11,80.17,60.27,72.59
sp|Q14164|IKKE_HUMAN,6NT9_B,3.2e-148,1142.41,178.41,95.68,171.31
sp|Q14722|KCAB1_HUMAN,3LUT_A,2.3e-45,297.98,193.53,25.83,192.05
sp|Q15047|SETB1_HUMAN,4QEO_A,1.5e-33,285.33,158.07,68.62,143.23
sp|Q15058|KIF14_HUMAN,5MM7_K,1.5e-54,438.37,302.01,64.23,292.30
sp|Q15131|CDK10_HUMAN,3N9X_A,1.5e-43,289.11,206.31,17.02,205.65
sp|Q15828|CYTM_HUMAN,4N6O_B,7.6e-19,113.17,78.22,14.66,76.90
sp|Q16891|MIC60_HUMAN,7VOP_f,11.0,43.76,NaN,NaN,NaN
sp|Q5BKX5|ACTMP_HUMAN,7DCO_A,27.0,43.0,NaN,NaN,NaN
sp|Q5MJ10|SPXN2_HUMAN,7NSB_a,230.0,29.29,NaN,NaN,NaN
sp|Q5T2T1|MPP7_HUMAN,3TSZ_A,1.5e-50,362.16,164.43,87.33,143.05
sp|Q5T619|ZN648_HUMAN,6QNX_C,4e-49,399.2,96.83,52.00,86.66
sp|Q6IN84|MRM1_HUMAN,1GZ0_F,7.2e-33,223.98,143.55,28.28,141.13
sp|Q6P087|RUSD3_HUMAN,5UBA_A,1.2e-22,165.86,114.06,27.87,110.61
sp|Q6P4R8|NFRKB_HUMAN,4UF5_B,4.8e-26,208.45,167.43,40.87,162.06
sp|Q6SZW1|SARM1_HUMAN,7CM7_B,4.6e-115,833.54,165.06,184.47,122.38
sp|Q712K3|UB2R2_HUMAN,6ZHU_H,8.7e-40,256.35,97.69,25.18,95.24
sp|Q76M96|CCD80_HUMAN,2PFF_A,900.0,32.76,NaN,NaN,NaN
sp|Q7L8L6|FAKD5_HUMAN,6Z1P_AS,9.6e-18,175.08,129.18,41.23,122.44
sp|Q7RTU7|SCX_HUMAN,4AYA_B,4.2e-09,71.99,61.21,9.79,60.41
sp|Q8IWA0|WDR75_HUMAN,7MQA_LH,2e-157,1168.24,108.26,93.05,100.67
sp|Q8J025|APCD1_HUMAN,2WWS_A,140.0,29.51,NaN,NaN,NaN
sp|Q8N126|CADM3_HUMAN,3J8F_7,4.7e-26,175.69,100.99,18.82,99.34
sp|Q8N196|SIX5_HUMAN,4EGC_A,6.5e-21,172.45,119.08,53.36,106.46
sp|Q8N1A0|KT222_HUMAN,6UUI_C,4.8e-08,59.61,53.22,4.74,53.01
sp|Q8N3R9|PALS1_HUMAN,2XKX_B,4.1e-48,364.22,169.03,86.99,149.15
sp|Q8NBD8|T229B_HUMAN,6YNY_B,290.0,27.14,NaN,NaN,NaN
sp|Q8NBF2|NHLC2_HUMAN,6GC1_C,8.7e-54,374.8,71.62,25.02,69.97
sp|Q8NBJ5|GT251_HUMAN,6TEC_A,6.4e-13,128.84,119.41,10.17,118.97
sp|Q8NDZ2|SIMC1_HUMAN,7NRC_A,43.0,41.31,NaN,NaN,NaN
sp|Q8NER1|TRPV1_HUMAN,6BBJ_A,1.9e-107,808.47,148.18,132.40,115.86
sp|Q8NEZ4|KMT2C_HUMAN,6UH5_M,3.1e-22,218.11,123.74,35.50,118.67
sp|Q8TBC3|SHKB1_HUMAN,3DRY_C,2.7e-14,123.9,81.88,19.58,79.74
sp|Q8TD26|CHD6_HUMAN,7TN2_W,2.8e-131,1166.29,208.50,150.61,178.92
sp|Q8TDI8|TMC1_HUMAN,6WUD_B,1.3e-08,74.76,74.76,0.00,74.76
sp|Q8WXD2|SCG3_HUMAN,6HLX_A,43.0,30.67,NaN,NaN,NaN
sp|Q8WYP3|RIN2_HUMAN,2OT3_A,1.3e-16,145.67,124.15,9.23,123.83
sp|Q92529|SHC3_HUMAN,1N3H_A,1.4e-22,169.09,83.83,19.20,82.12
sp|Q92556|ELMO1_HUMAN,7DPA_C,4.8e-135,1016.19,426.26,322.43,324.24
sp|Q92600|CNOT9_HUMAN,4CV5_D,2.2e-84,569.51,551.26,18.25,550.96
sp|Q96DV4|RM38_HUMAN,7NQH_Bb,3.5e-106,737.23,191.88,177.02,147.69
sp|Q96FE5|LIGO1_HUMAN,2ID5_A,4.9e-58,376.49,148.55,36.39,145.02
sp|Q96FM1|PGAP3_HUMAN,6YXH_A,1.3e-10,95.94,95.94,0.00,95.94
sp|Q96FX8|PERP_HUMAN,6C14_D,3.6e-12,94.26,81.65,4.80,81.52
sp|Q96HB5|CC120_HUMAN,7N9F_z,350.0,30.5,NaN,NaN,NaN
sp|Q96JA3|PKHA8_HUMAN,5KDI_A,2.1e-36,252.94,171.60,71.95,148.98
sp|Q96K80|ZC3HA_HUMAN,6DNH_C,4.4e-05,65.02,NaN,NaN,NaN
sp|Q96LJ7|DHRS1_HUMAN,2QQ5_A,3.5e-33,194.33,98.97,12.66,98.28
sp|Q96PE3|INP4A_HUMAN,6PCV_A,2.1e-98,842.76,842.76,0.00,842.76
sp|Q96T83|SL9A7_HUMAN,7DSX_A,1.8e-43,336.24,167.27,71.24,152.90
sp|Q99935|PROL1_HUMAN,7RD1_M,470.0,28.14,NaN,NaN,NaN
sp|Q9BQ16|TICN3_HUMAN,1BMO_A,3.5e-15,117.77,96.33,21.39,93.68
sp|Q9BRK3|MXRA8_HUMAN,6NK3_B,1.1e-25,172.75,65.81,16.27,64.72
sp|Q9BTN0|LRFN3_HUMAN,5XNQ_A,1.5e-31,218.63,89.17,24.85,86.62
sp|Q9BTZ2|DHRS4_HUMAN,4V59_A,3.4e-28,250.44,159.38,18.98,158.36
sp|Q9BUH6|PAXX_HUMAN,3WTF_B,1e-51,326.96,268.81,41.22,265.84
sp|Q9BVG3|TRI62_HUMAN,4CFG_B,1.6e-34,242.14,91.90,44.43,84.15
sp|Q9BVS5|TR61B_HUMAN,2B25_A,6.3e-54,376.87,75.93,27.52,73.55
sp|Q9BYV1|AGT2_HUMAN,6TOR_B,1.5e-56,400.5,142.04,52.87,134.38
sp|Q9GZY8|MFF_HUMAN,1W8X_P,120.0,27.31,NaN,NaN,NaN
sp|Q9H2F3|3BHS7_HUMAN,6X89_A9,1.6e-18,147.7,89.11,16.79,87.65
sp|Q9H2F5|EPC1_HUMAN,5J9U_G,1.9e-49,382.16,326.64,55.52,321.89
sp|Q9H2M9|RBGPR_HUMAN,7PMN_H,35.0,41.3,NaN,NaN,NaN
sp|Q9H2S9|IKZF4_HUMAN,6QNX_C,8.2e-17,166.08,75.89,21.45,73.12
sp|Q9H479|FN3K_HUMAN,3JR1_A,5.1e-24,159.25,81.98,16.10,80.79
sp|Q9H892|TTC12_HUMAN,4I2Z_A,1.1e-08,102.13,79.47,10.10,78.82
sp|Q9H9T3|ELP3_HUMAN,6IA8_A,2.1e-82,581.84,279.12,191.17,199.55
sp|Q9HBI1|PARVB_HUMAN,6ANU_f,1.8e-18,130.76,81.21,23.60,78.18
sp|Q9HCM4|E41L5_HUMAN,6D21_A,7e-55,377.96,194.06,58.56,185.99
sp|Q9NS23|RASF1_HUMAN,3DDC_B,2.4e-34,229.82,97.35,45.53,90.67
sp|Q9NZH7|IL36B_HUMAN,6HPI_A,1.4e-14,105.11,86.89,8.40,86.47
sp|Q9P2B4|CT2NL_HUMAN,7DL2_D,0.021,64.94,NaN,NaN,NaN
sp|Q9P2P6|STAR9_HUMAN,5MM7_K,7.1e-47,422.34,275.30,83.42,255.95
sp|Q9UBF8|PI4KB_HUMAN,4WAE_A,8e-108,808.62,270.03,124.57,247.05
sp|Q9UBG0|MRC2_HUMAN,7JPT_A,1.4e-153,1285.66,100.96,119.09,86.28
sp|Q9UGU0|TCF20_HUMAN,4NN2_B,3.4e-09,86.97,80.02,7.00,79.71
sp|Q9UHQ9|NB5R1_HUMAN,6MV2_A,5.2e-31,209.55,134.11,25.89,131.53
sp|Q9UJF2|NGAP_HUMAN,3BXJ_B,7.5e-54,406.79,261.14,81.12,247.36
sp|Q9UL25|RAB21_HUMAN,7LHW_A,1.7e-14,152.17,121.15,13.21,120.41
sp|Q9ULK4|MED23_HUMAN,6H02_A,0.0,2786.74,2786.22,0.52,2786.21
sp|Q9ULW6|NP1L2_HUMAN,2AYU_A,5e-44,337.88,228.89,44.31,224.93
sp|Q9UM13|APC10_HUMAN,1GQP_B,6.3e-38,243.39,202.68,31.45,200.27
sp|Q9UN72|PCDA7_HUMAN,5SZP_A,2.6e-42,311.79,147.15,52.63,138.42
sp|Q9UPQ0|LIMC1_HUMAN,1P5S_A,7e-09,91.22,74.22,10.48,73.47
sp|Q9UQM7|KCC2A_HUMAN,5U6Y_J,7.1e-77,466.13,237.18,22.64,236.27
sp|Q9Y263|PLAP_HUMAN,3PSP_A,1.5e-64,489.85,104.51,38.08,101.50
sp|Q9Y264|ANGP4_HUMAN,3GHG_H,1.3e-45,354.92,260.86,48.44,256.32
sp|Q9Y265|RUVB1_HUMAN,4WW4_B,6.8e-58,413.97,91.58,42.25,86.64
sp|Q9Y2M5|KLH20_HUMAN,6WCQ_C,5.3e-67,466.04,142.28,64.71,130.26
sp|Q9Y458|TBX22_HUMAN,5BQD_A,6.8e-50,344.2,270.53,22.93,269.65
sp|Q9Y592|CEP83_HUMAN,6SO3_B,0.0041,71.32,NaN,NaN,NaN
sp|Q9Y5H5|PCDA9_HUMAN,5SZP_A,8e-43,315.54,148.81,54.75,139.56
sp|Q9Y5U4|INSI2_HUMAN,7ETW_A,5.2e-56,354.18,289.11,65.07,281.69
sp|Q9Y679|AUP1_HUMAN,2EKF_A,2.1e-08,73.01,67.98,2.92,67.92
sp|Q9Y6V0|PCLO_HUMAN,7T7C_H,1.9e-08,128.31,84.85,15.93,83.51
tr|A0A0G2JP53|A0A0G2JP53_HUMAN,5MFA_A,2e-113,878.19,548.43,185.47,496.07
tr|A0A7I2V3E1|A0A7I2V3E1_HUMAN,4OQA_F,1.6e-81,611.13,202.46,142.24,166.18
sp|O15069|NACAD_HUMAN,7QWR_t,1.9e-33,271.8,136.53,68.93,123.78
sp|P35325|SPR2B_HUMAN,1ZLG_A,61.0,23.07,NaN,NaN,NaN
sp|P36537|UDB10_HUMAN,6KVJ_A,1.1e-36,237.32,135.00,47.96,126.10
sp|Q14206|RCAN2_HUMAN,1WEY_A,5e-20,124.59,109.96,14.63,108.98
sp|Q14681|KCTD2_HUMAN,3DRY_C,1.2e-50,309.16,88.94,56.61,79.67
sp|Q5MJ09|SPXN3_HUMAN,6RM3_LNN,510.0,22.47,NaN,NaN,NaN
sp|Q86WN2|IFNE_HUMAN,7E0E_A,4.5e-30,191.51,177.30,9.24,177.05
sp|Q8IZS8|CA2D3_HUMAN,6JPA_F,6.7e-133,1067.97,89.20,121.79,76.60
sp|Q8N3X6|LCORL_HUMAN,5AE2_A,170.0,32.21,NaN,NaN,NaN
sp|Q8N9W4|GG6L2_HUMAN,7DL2_D,0.00095,77.92,61.74,0.00,61.74
sp|Q8NBR0|P5I13_HUMAN,7V2H_o,130.0,26.14,NaN,NaN,NaN
sp|Q8NDA2|HMCN2_HUMAN,3DMK_A,1.1e-45,408.66,222.47,47.17,218.04
sp|Q8NF86|PRS33_HUMAN,2B9L_A,2.9e-39,261.7,168.58,57.35,155.62
sp|Q96NX9|DACH2_HUMAN,1L8R_A,2e-19,140.26,131.09,6.06,130.95
sp|Q9P242|NYAP2_HUMAN,6HIF_J,160.0,31.82,NaN,NaN,NaN
sp|Q9P2J8|ZN624_HUMAN,6QNX_C,2.8e-51,432.47,100.52,54.61,90.10
sp|Q9UKJ3|GPTC8_HUMAN,5Y88_U,1.3e-07,105.52,105.52,0.00,105.52
sp|Q9Y6I0|VPK6_HUMAN,2RSP_A,1e-08,65.87,52.95,9.69,52.08
sp|Q9YNA8|GAK19_HUMAN,6SSL_B,2.3e-33,229.71,125.71,43.32,118.23
tr|A0A087WT80|A0A087WT80_HUMAN,4GNK_D,2.6e-177,1459.91,577.07,402.57,409.77
sp|A0A096LP55|QCR6L_HUMAN,5OKD_H,2.1e-19,117.3,99.96,13.56,98.96
tr|A0A140T9T7|A0A140T9T7_HUMAN,5U1D_A,3e-151,1127.55,201.36,113.02,177.65
tr|A0A286YFA6|A0A286YFA6_HUMAN,7KSI_A,6e-85,542.08,208.83,26.41,207.61
tr|A0A7I2V3I0|A0A7I2V3I0_HUMAN,7ASE_E,9.6e-87,592.65,169.21,137.43,132.72
tr|A0A7I2YQA8|A0A7I2YQA8_HUMAN,4WXX_B,6.3e-187,1549.93,194.97,235.93,146.76
tr|A0A8I5KVA5|A0A8I5KVA5_HUMAN,5GGI_B,5.5e-89,641.79,267.63,199.01,216.30
sp|A4D2G3|O2A25_HUMAN,7BVQ_B,2.2e-28,198.43,157.66,22.43,155.66
sp|A4QMS7|CFA90_HUMAN,6U42_8B,0.48,39.23,NaN,NaN,NaN
tr|A6NFW1|A6NFW1_HUMAN,7AO8_B,1.2e-73,519.22,321.61,86.39,311.59
sp|A6PVS8|LRIQ3_HUMAN,4LXR_A,2.6e-05,74.74,71.00,0.06,71.00
tr|E5RFT4|E5RFT4_HUMAN,2FIY_A,0.16,44.5,NaN,NaN,NaN
tr|E7EX90|E7EX90_HUMAN,6ZNL_Z,2.8e-152,1263.29,168.96,294.79,100.73
tr|E9PHT6|E9PHT6_HUMAN,2Q40_A,8.2e-45,344.04,192.17,65.73,182.53
tr|E9PML7|E9PML7_HUMAN,3QYQ_C,6.7e-15,124.12,92.87,18.27,91.05
tr|F8VVT7|F8VVT7_HUMAN,3FRT_B,1.1e-16,114.82,90.12,20.70,87.53
sp|O75373|ZN737_HUMAN,6QNX_C,7.5e-52,416.4,97.26,53.41,86.90
sp|Q5GH73|XKR6_HUMAN,7DCE_X,2.3e-65,486.38,466.07,20.31,465.63
tr|Q5JQP4|Q5JQP4_HUMAN,4I2F_A,6.8e-51,346.73,287.20,45.80,282.81
sp|Q5VUD6|DIK1B_HUMAN,4IL1_D,100.0,31.16,NaN,NaN,NaN
sp|Q6UW10|SFTA2_HUMAN,6BTC_A,9.1,27.26,NaN,NaN,NaN
sp|Q71RC9|SMIM5_HUMAN,7SBP_A,1.5,41.26,NaN,NaN,NaN
sp|Q8IWB4|S31A7_HUMAN,6DS5_A,180.0,34.48,NaN,NaN,NaN
tr|Q8NG42|Q8NG42_HUMAN,7KW7_F,4.8e-39,338.32,90.38,47.20,82.26
sp|Q8NGE1|OR6C4_HUMAN,7JOZ_R,4.1e-26,188.14,147.15,20.11,145.44
sp|Q8NGZ6|OR6F1_HUMAN,7JOZ_R,1.2e-23,173.58,134.44,18.11,132.96
sp|Q8TF44|C2C4C_HUMAN,7T7C_H,0.0015,66.35,NaN,NaN,NaN
sp|Q8WV15|T255B_HUMAN,6VJA_D,0.21,42.49,NaN,NaN,NaN
sp|Q96GE5|ZN799_HUMAN,6QNX_C,1.5e-48,400.11,95.79,50.98,86.43
sp|Q96R08|OR5BC_HUMAN,7JOZ_R,5.7e-25,181.81,140.31,19.62,138.60
sp|Q96RM1|SPR2F_HUMAN,1ZLG_A,8.3,27.17,NaN,NaN,NaN
sp|Q9BSC4|NOL10_HUMAN,7MQ9_NW,2.8e-123,908.22,92.69,118.33,77.81
tr|Q9H1R6|Q9H1R6_HUMAN,2ME8_A,8.6e-48,294.75,158.83,42.54,153.93
sp|Q9H3W5|LRRN3_HUMAN,2ID5_A,8.7e-32,225.57,129.04,24.97,126.76
sp|Q9H4I0|RD21L_HUMAN,6QNX_B,7.3e-68,523.24,303.80,171.97,247.20
sp|Q9NVP4|DZAN1_HUMAN,7VOP_V,0.018,70.92,NaN,NaN,NaN
sp|Q9Y6F7|CDY2_HUMAN,6J1F_A,2.9e-21,180.58,152.30,22.02,149.99
tr|A0A087WV90|A0A087WV90_HUMAN,1EG4_A,5e-33,267.88,121.78,44.70,115.32
tr|A0A087WZL3|A0A087WZL3_HUMAN,7NX4_A,8.3e-60,469.61,208.08,35.07,205.86
tr|A0A0A0MRF8|A0A0A0MRF8_HUMAN,4V9F_R,7.3e-31,194.43,129.95,36.63,125.04
tr|A0A0A0MRJ7|A0A0A0MRJ7_HUMAN,7KVF_B,1.6e-317,2868.86,218.84,349.17,138.30
tr|A0A0A0MSH6|A0A0A0MSH6_HUMAN,2Y6V_C,6.4e-07,70.31,60.70,3.39,60.60
tr|A0A0A0MSN4|A0A0A0MSN4_HUMAN,6M17_D,6.9e-100,813.66,332.23,180.60,296.16
tr|A0A0A0MSY9|A0A0A0MSY9_HUMAN,7KSR_A,5.9e-171,1306.44,208.65,282.63,138.12
sp|A0A0A0MT76|LJ01_HUMAN,3MUU_A,78.0,26.73,NaN,NaN,NaN
tr|A0A0C4DFU5|A0A0C4DFU5_HUMAN,7BVQ_B,5e-22,162.07,128.21,15.52,127.07
tr|A0A0C4DGL4|A0A0C4DGL4_HUMAN,7DSL_B,2.3e-28,193.57,121.92,23.00,120.00
tr|A0A0C4DH56|A0A0C4DH56_HUMAN,1Q79_A,4.6e-21,170.14,163.13,7.01,162.98
tr|A0A0G2JH31|A0A0G2JH31_HUMAN,6PY2_B,1.4e-31,190.57,105.21,35.42,98.10
tr|A0A0G2JN23|A0A0G2JN23_HUMAN,7OKY_M,2.3e-08,100.76,89.87,8.06,89.51
tr|A0A0G2JN43|A0A0G2JN43_HUMAN,6AED_A,9.6e-38,237.89,77.39,25.23,74.62
tr|A0A0G2JNL0|A0A0G2JNL0_HUMAN,2CV8_B,1.1e-12,98.84,81.69,16.36,79.95
tr|A0A0G2JRA4|A0A0G2JRA4_HUMAN,1Q5C_B,8.3e-58,418.35,96.69,38.96,92.12
tr|A0A0G2JRN8|A0A0G2JRN8_HUMAN,5TUY_A,1.8e-58,397.65,183.94,50.76,178.20
tr|A0A1B0GTY3|A0A1B0GTY3_HUMAN,6QIG_A,1.8e-84,630.82,179.04,98.91,157.42
tr|A0A1W2PQN6|A0A1W2PQN6_HUMAN,4WZI_B,3.4e-28,203.66,203.66,0.00,203.66
tr|A0A2R8Y553|A0A2R8Y553_HUMAN,6GCI_A,3.1e-37,240.14,208.29,17.75,207.56
tr|A0A2R8Y5U3|A0A2R8Y5U3_HUMAN,4BX8_B,2.4e-26,190.7,147.20,28.16,144.58
tr|A0A2R8Y5Y7|A0A2R8Y5Y7_HUMAN,7OLD_LH,3.6e-32,216.53,154.22,33.24,150.40
tr|A0A3B3IRJ8|A0A3B3IRJ8_HUMAN,7AO8_B,2.4e-40,280.81,189.26,38.87,185.68
tr|A0A3B3ISY0|A0A3B3ISY0_HUMAN,7AO8_B,2.9e-40,282.7,192.20,38.66,188.70
tr|A0A3B3ITL7|A0A3B3ITL7_HUMAN,7DVQ_4,1.2e-11,114.19,61.01,11.80,59.96
tr|A0A494BZX7|A0A494BZX7_HUMAN,2YJF_M,7.1e-18,140.76,112.87,16.90,111.65
tr|A0A494C057|A0A494C057_HUMAN,1C7C_A,1.9e-06,51.78,44.97,1.98,44.93
tr|A0A499FIV4|A0A499FIV4_HUMAN,3E00_D,3.1e-33,204.64,77.82,51.90,64.57
tr|A0A6Q8PHF8|A0A6Q8PHF8_HUMAN,6OB7_A,5.1e-05,67.79,NaN,NaN,NaN
tr|A0A7I2V2B1|A0A7I2V2B1_HUMAN,3MW2_B,1.3e-15,116.73,92.20,18.00,90.37
tr|A0A7I2V2U7|A0A7I2V2U7_HUMAN,6R5K_H,4.3e-21,180.04,103.84,25.32,100.96
tr|A0A7I2V311|A0A7I2V311_HUMAN,4WXX_B,1e-129,1057.69,131.59,150.24,105.51
tr|A0A7I2V3T7|A0A7I2V3T7_HUMAN,6K4J_A,2.6e-27,163.31,109.23,36.87,102.54
tr|A0A7I2YQU6|A0A7I2YQU6_HUMAN,4JHD_C,0.21,47.16,NaN,NaN,NaN
tr|A0A7P0T8C7|A0A7P0T8C7_HUMAN,3DYU_A,5.1e-38,263.64,130.63,72.54,112.68
tr|A0A7P0T8E8|A0A7P0T8E8_HUMAN,7DVQ_9,9.2e-99,718.49,141.96,69.55,134.21
tr|A0A7P0T9W4|A0A7P0T9W4_HUMAN,4H8S_C,3.4e-25,189.62,130.21,25.82,127.48
tr|A0A804HI24|A0A804HI24_HUMAN,3GTD_B,1.4e-83,589.81,315.13,108.62,298.49
tr|A0A8I5KRC0|A0A8I5KRC0_HUMAN,7DVQ_8,16.0,43.08,NaN,NaN,NaN
tr|A0A8I5KSE2|A0A8I5KSE2_HUMAN,7KZN_A,0.0,4781.04,1511.85,1809.91,484.66
tr|A0A8I5QKT9|A0A8I5QKT9_HUMAN,3W2I_A,5.1e-24,153.23,102.77,17.80,101.20
tr|A0A8Q3SIY4|A0A8Q3SIY4_HUMAN,3TJE_F,3.4e-21,129.0,73.68,14.43,72.48
tr|A0A8Q3WM30|A0A8Q3WM30_HUMAN,6HG4_B,4.3e-60,460.29,222.21,160.44,163.86
